chave_acesso;serie;numero;natureza_operacao;data;cnpj
5,12201E+43;1;32277;5656 Venda de combustivel ou lubrificante, adquiridos ou re;01/01/2022 16:21;2,83681E+12
1,22201E+43;1;28160;VENDA;01/01/2022 16:28;1,51129E+13
5,12201E+43;1;61374;Venda combust. lub Adq. Terceiros;01/01/2022 16:35;3,18986E+12
3,32201E+43;1;46879;OUTRA SAIDA , NAO ESPECIFICADA;01/01/2022 16:44;1,22642E+12
3,32201E+43;258;8222;VENDA;01/01/2022 17:13;3,58204E+13
3,32201E+43;1;46887;REMESSA DE FORMULAS MANIPULADAS;01/01/2022 17:28;1,22642E+12
2,92201E+43;1;22242;Venda de combustivel ou lubrificante a consumidor;01/01/2022 18:04;3,34536E+13
3,32201E+43;1;85169;OUTRAS SAIDAS - REMESSA PARA ANALISE SEM RETORNO;02/01/2022 00:00;3,30002E+13
5,02201E+43;1;6132;ENTRADA DE MERCADORIA RECIBIDA PARA CONSERTO;02/01/2022 00:00;8,05701E+12
5,32201E+43;1;130;PRESTACAO DE SERVICOS;02/01/2022 00:00;3,39564E+11
5,32201E+43;1;7560;PRESTACAO DE SERVICOS;02/01/2022 00:00;4,78727E+11
5,32201E+43;1;7561;PRESTACAO DE SERVICOS;02/01/2022 00:00;4,78727E+11
5,32201E+43;1;7562;PRESTACAO DE SERVICOS;02/01/2022 00:00;4,78727E+11
5,32201E+43;1;1096;PRESTACAO DE SERVICOS;02/01/2022 00:00;5,61324E+12
5,32201E+43;1;1097;PRESTACAO DE SERVICOS;02/01/2022 00:00;5,61324E+12
5,32201E+43;1;1098;PRESTACAO DE SERVICOS;02/01/2022 00:00;5,61324E+12
5,32201E+43;1;1101;PRESTACAO DE SERVICOS;02/01/2022 00:00;5,61324E+12
3,32201E+43;30;29872;VENDA DE PRODUCAO DO ESTABELECIMENTO, EFETUADA FORA DO ESTAB;02/01/2022 00:50;3,58204E+13
3,32201E+43;30;29872;VENDA DE PRODUCAO DO ESTABELECIMENTO, EFETUADA FORA DO ESTAB;02/01/2022 00:50;3,58204E+13
3,32201E+43;250;1746;VENDA;02/01/2022 02:18;3,58204E+13
5,32201E+43;1;2391;Prestação de serviços;02/01/2022 03:39;1,09178E+13
5,32201E+43;1;2393;Prestação de serviços;02/01/2022 03:39;1,09178E+13
5,12201E+43;1;26958;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 05:41;1,9968E+13
5,32201E+43;1;2387;Prestação de serviços;02/01/2022 06:39;1,09178E+13
5,12201E+43;1;32278;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 06:51;2,83681E+12
5,12201E+43;1;310637;VENDAS DE COMBUISTIVEIS E LUBRIFICA;02/01/2022 06:59;2,89672E+12
5,12201E+43;1;32279;5656 Venda de combustivel ou lubrificante, adquiridos ou re;02/01/2022 07:41;2,83681E+12
