codigo;razao_social;inscricao_estadual;uf;municipio
8331877000177;ADVANCED COMERCIO DE EQUIPAMENTOS LTDA;9038484483;PR;CURITIBA
10670020000123;MI COMERCIO DE MATERIAS LTDA;9047283814;PR;CURITIBA
17767927000154;CENTRO AUTOMOTIVO PERDIZES EIRELI -ME;9062410725;PR;ARAPONGAS
19292314000133;ZS TEXTIL IND. DE CONFEC. EIRELI - EPP;9064960625;PR;APUCARANA
25279552000101;DISTRIBUIDORA DE MEDICAMENTOS BACKES EIRELI;9072724949;PR;OURO VERDE DO OESTE
41272326000155;BONIBOM COMERCIO DE ALIMENTOS EIRELI;9088529828;PR;PATO BRANCO
76730076000134;J.R. EHLKE & CIA LTDA;1012355803;PR;CURITIBA
84971076000154;ATINAIUR ANTONIO PIRES SAPPER;7011664509;PR;MARINGA
6195441000172;EVAPORCLIMA PLACAS EVAPORATIVAS LTDA EPP;254743595;SC;FLOR DO SERTAO
9614581000126;VOLTCOM DO BRASIL LTDA - ME;256000379;SC;JOINVILLE
61752820000124;TECNICA PERMATRON INDUSTRIA E COMERCIO LTDA ME;254114652;SC;JOINVILLE
6937686000128;SIDNEI PAULO RADAELLI EIRELI;20119984;RS;ALEGRETE
11396328000195;COOPERATIVA UNIAO;230055737;RS;CANGUCU
12087446000184;FULLPRINT COPIADORAS LTDA;910309930;RS;PASSO FUNDO
22211647000103;VIANA EMPREENDIMENTOS EMPRESARIAIS LTDA.;870113208;RS;OSORIO
93440717000135;MARCO ANTONIO FOLETTO;4050000660;RS;SAO JOAO DO POLESINE
97221659000100;ELISEU EDISON SCHNEIDER ME;963699326;RS;PORTO ALEGRE
2916265019189;JBS S/A;283758392;MS;PONTA PORA
33148231000104;LICIT COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI;284386014;MS;CAMPO GRANDE
37262218000124;UNIAO COMERCIO TAKARA EIRELI;284500674;MS;CAMPO GRANDE
2916265001050;JBS S/A;131967452;MT;BARRA DO GARCAS
2916265010394;JBS S/A;133319946;MT;AGUA BOA
5271529000163;MEGA OESTE LTDA - EPP;132113198;MT;CUIABA
29106687000126;HR COMERCIO E SERVICOS EIRELI;107104865;GO;GOIANIA
29740150000113;TECH MED DIST. DE MED. E MAT. HOSP. EIRELI;107209870;GO;AGUAS LINDAS DE GO
63263000140;LABORATORIO SANTA PAULA LTDA - EPP;731726100158;DF;BRASILIA
441200000180;SERGIO MACHADO REIS EPP;735054400110;DF;BRASILIA
502302000168;MUNDIAL RESIDENCE TRANSPORTES E LOGISTICA LTDA;734576200190;DF;BRASILIA
616789000100;REIMAQ ASSISTENCIA TECNICA DE DUPLICADORES EIRELI- EPP;733108500161;DF;BRASILIA
735860000173;ASSOCIACAO DOS MEDICOS DE HOSPITAIS PRIVADOS DO DF;733669900185;DF;BRASILIA
1096716000105;FP GLOBAL LOCAÇÃO DE MÃO DE OBRA E SERVIÇOS ADMINISTRATIVOS;788140400190;DF;BRASÍLIA
1608603000133;SERVEGEL SOLUCOES LTDA;731570300112;DF;BRASILIA
1708458000162;VISAO ADM E CONSTRUCAO EIRELI;737222300152;DF;BRASILIA
2007037000177;ENCOM ENERGIA E COMERCIO LTDA;731913200195;DF;BRASILIA
2282727000134;ZEPIM SEGURANCA E VIGILANCIA EIRELI;738013700148;DF;BRASILIA
2604476000167;CLIMATICA ENGENHARIA EIRELI;738668000130;DF;BRASILIA
3509498000100;FIELDS COMUNICACAO LTDA.;747349500160;DF;BRASILIA
3637261000105;RAV - RENOVANDO A VIDA;752423100111;DF;BRASILIA
4198254000117;MCR SISTEMAS E CONSULTORIA LTDA;741800000163;DF;BRASILIA
4224681000122;FISIOTRAUMA CLINICA DE FISIOTERAPIA, ESTETICA E TERAPIAS;741859700137;DF;BRASILIA
4407207000136;EURO SEGURANÇA PRIVADA EIRELI;768910700102;DF;BRASÍLIA
4784569000227;CALIAY2 PROPAGANDA E MARKETING LTDA;756796100241;DF;BRASILIA
5161772000129;DUTOS QUIMICA LTDA-ME;743594400145;DF;BRASILIA
5283260000135;W & E SERVICOS TECNICOS EIRELI - EPP;743792900187;DF;BRASILIA
5359094000103;BR MAIS COMUNICAÇÃO LTDA;749966800165;DF;BRASÍLIA
6885830000120;LINK INFORMATICA EIRELI EPP;745860200161;DF;BRASILIA
6950757000122;BSB MED SEGURANCA E MEDICINA DO TRABALHO LTDA;745863900180;DF;BRASILIA
7196243000277;INFINITA ASSISTENCIA MEDICA E HOSPITALAR LTDA;746337800262;DF;BRASILIA
8173071000106;R E R SERVICOS DE LIMPEZA E CONSERVACAO LTDA;747881500187;DF;BRASILIA
8414767000179;CAPITAL SERVICE SERVICOS PROFISSIONAIS EIRELI;748155900101;DF;BRASÍLIA
8656163000139;WIVVO SERVICOS E TECNOLOGIA LTDA;748457500157;DF;BRASÍLIA
8877074000112;DIGITAL SEGURANCA ELETRONICA LTDA - ME;748832500169;DF;BRASILIA
9167810000101;BMS TREINAMENTOS EMPRESARIAIS EIRELI;749488500122;DF;BRASILIA
9267406000100;VISAN SEGURANCA PRIVADA EIRELI;749704000161;DF;BRASÍLIA
10563037000181;VISAN SERVICOS TECNICOS ADMINISTRATIVOS TERCEIRIZADOS LTDA;777998400150;DF;BRASÍLIA
10902520000143;CASA LIMPA DEDETIZADORA LTDA;752256500123;DF;BRASILIA
10926280000117;ALL TECH ELEVADORES E SERVICOS LTDA;752306100158;DF;BRASILIA
10947243000195;LINEAR COMUNICACAO LTDA - EPP;752354100146;DF;BRASILIA
11385361000110;SIGA SERVICOS ESPECIALIZADOS E FACILITIES EIRELI.;753225700102;DF;BRASILIA
11429182000137;CLINICA RESSONANCE LTDA;753268900197;DF;BRASILIA
11493941000120;ATAX - EMPREENDIMENTOS COMERCIAIS EIRELI;764639900136;DF;BRASILIA
11523806000180;ZK CONSERVACAO E LIMPEZA EIRELI;765362800102;DF;BRASILIA
11905103000117;LIGHTBASE SERV E CONSULTORIA EM SOFTWARE PUBLICO LTDA - EPP;753917300128;DF;BRASILIA
12010075000132;RRM SERVICOS E COMERCIO DE CARTUCHOS LTDA;754051400123;DF;BRASILIA
13649407000196;CLINICA DOMICILIAR SANTA CAMILA LTDA;757333800107;DF;BRASILIA
14517554000175;LOTUS DF SERVICOS E LOGISTICA EIRELI;771171300185;DF;BRASILIA
15460727000129;INSTITUTO ABBA PAI;765775800197;DF;BRASILIA
16650774000106;ALFA E OMEGA SERVICOS TERCEIRIZADOS E EVENTOS LTDAMANUTENC;761806800131;DF;BRASILIA
18450238000184;PEDRO EDENIR DA ROCHA;765017500108;DF;BRASILIA
19525226000134;VOSSI TELECOM LTDA;766846600169;DF;BRASILIA
19877285000252;LANLINK SOLUCOES E COMERCIALIZACAO EM INFORMATICA S/A;772911200225;DF;BRASÍLIA
21312906000111;KHENOSIS CLINICA DE SAUDE MENTAL COACHING E REMOCAO LTDA;770062200190;DF;BRASILIA
22575793000100;CRUZEIRO SERVICOS TECNICOS EIRELI;772397000130;DF;BRASILIA
23230795000120;VS VIEIRA & SANTOS COM.ART.PAP.EIRELI-ME;773617000140;DF;BRASILIA
23518717000125;3R AMBIENTAL COMERCIO E TRANSPORTE LTDA;774128000102;DF;BRASILIA
23972729000125;TF ENGENHARIA E REPRESENTACOES LTDA - ME;775215000184;DF;BRASILIA
24377448000197;UNITY COMERCIO E SERVICOS AUTOMOTIVOS LTDA - ME;776017500103;DF;BRASILIA
26297247000105;NGSX SERVICOS ESPECIALIZADOS EM SEGURANCA DA INFORMACAO LTDA;778558900195;DF;BRASILIA
26444653000153;ASSOCIACAO CENTRO DE TREINAMENTO DE ED. FISICA ESP;735807800101;DF;BRASILIA
33683111000280;BRASILIA;733474300294;DF;BRASILIA
35339031000156;UNT PECAS E SERVICOS AUTOMOTIVOS EIRELI;795029500185;DF;BRASILIA
37077716000105;CITY SERVICE SEGURANCA LTDA;731638300163;DF;BRASILIA
38068664000165;PRISMA SYS SERVICOS E COMERCIO DE INFORMATICA LTDA EPP;742448200198;DF;BRASILIA
42291390000146;INFINITY PHARMA COMERCIO E REPRESENTACOES DE MEDICAMENTOS;806173100155;DF;BRASILIA
57118929000218;NOVA S/B COMUNICACAO S.A.;745473100252;DF;BRASILIA
61704482000406;AGENCIA NACIONAL DE PROPAGANDA LTDA.;750387300326;DF;BRASILIA
72645872000118;CTX TECNOLOGIA E EQUIPAMENTOS EIRELI EPP;735243900160;DF;BRASILIA
88633680000202;OSM CONSULTORIA E SISTEMAS LTDA;732863900227;DF;BRASILIA
11292392000126;DANTAS COMERCIO, REPRESENTACOES E SERVICOS LTDA-EPP;152924426;PA;BELEM
40929669000187;MEDDY SOLUCOES INTEGRADAS EM SAUDE LTDA;12268270;RJ;NITEROI
33337122020314;IPIRANGA PRODUTOS DE PETROLEO SA;12624594;PE;IPOJUCA
34274233032993;VIBRA ENERGIA S.A;12670359;PE;IPOJUCA
73702649000128;PREMIER COMERCIO DE ALIMENTOS LTDA;85209574;RJ;RIO DE JANEIRO
34274233009584;VIBRA ENERGIA S.A;80175442;RJ;DUQUE DE CAXIAS
33337122008454;IPIRANGA PRODUTOS DE PETROLEO SA;733475300239;DF;BRASILIA
1108177003780;NOKIA SOLUTIONS AND NETWORKS DO BRASIL TELECOMUNICACOES LTDA;9049110038;PR;SAO JOSE DOS PINHAIS
69599884000149;MC MORAIS- ME;194268411;PI;TERESINA
33337122022520;IPIRANGA PRODUTOS DE PETROLEO SA;253231027;SC;BIGUACU
64799539000488;TECNOSET INFORMATICA PROD. E SERVS. LTDA;38230593;PE;JABOATAO DOS GUARARAPES
12925007000101;MERCOSCIENCE COMERCIAL LTDA - ME;683012790112;SP;TAPIRATIBA
34274233006488;VIBRA ENERGIA S.A;206005130116;SP;BARUERI
24565031000158;SERVEN COMERCIO DE ALIMENTOS LTDA - ME;240301465;RR;BOA VISTA
34307295000165;COMPANHIA DE GAS DO ESPIRITO SANTO;83593063;ES;VITORIA
10511650000155;ECCAGIO COMERCIO DE ALIMENTOS LTDA;78663804;RJ;SAO GONCALO
37938356000180;LIVIA C N Y  BARAÚNA;169626860;BA;SALVADOR
8830495000198;CLINICA DE PSICOLOGIA ACOLHER LTDA - ME;748760000181;DF;BRASILIA
34274233026160;VIBRA ENERGIA S.A;280902395;MS;CAMPO GRANDE
1449930000513;SIEMENS HEALTHCARE DIAGNÓSTICOS LTDA;407365578118;SP;JUNDIAÍ
36295879000193;WALDETE F. DE SOUZA EIRELI;156807564;PA;GURUPA
2368789000163;INDUSTRIA DE POLPA DE FRUTAS NATURAL SABOR;161206905;PB;JOAO PESSOA
27120416000108;EDWINEY SEBASTIAO CUPERTINO - EIRELI - ME;29149570048;MG;COIMBRA
34274233009746;VIBRA ENERGIA S.A;17566;RO;PORTO VELHO
16820052001540;PRIMA FOODS S.A.;104390514;GO;SANTA FE DE GOIAS
19600228000140;ARCANJOS COMERCIAL DE ALIMENTOS EIRELI ME;766965500168;DF;BRASILIA
31329483000104;THIAGO DA CRUZ CLEMENTE - ME;398137252118;SP;JANDIRA
5652247000378;LUMIAR HEALTH BUILDERS EQUIPAMENTOS HOSPITALARES LTDA;78712090;RJ;RIO DE JANEIRO
33255787000191;IBF INDUSTRIA BRASILEIRA DE FILMES S/A;80652712;RJ;DUQUE DE CAXIAS
8345105000194;ASSOCIAÇÃO DE MULHERES LUTADORAS DE LILÁS  DO BOQUEIRÃO;202044483;RN;TOUROS
11319557000106;DENTECK AR CONDICIONADO LTDA;2440037308;RS;TEUTONIA
8220930000162;CODEPE COMBUSTIVEIS LTDA;101836500150;AC;RIO BRANCO
9608095000103;MEDMACH SOLUCOES HOSPITALARES LTDA;87266877;RJ;RIO DE JANEIRO
1651522000116;TECNISAN SIST OPERACIONAIS SANEAMENTO EIRELI;290303257;RS;CAXIAS DO SUL
9216620000137;BRS SUPRIMENTOS CORPORATIVOS S/A;1240248412;RS;SAO LEOPOLDO
2981979000151;COOPERATIVA DE PRODUCAO AGROPECUARIA E SERVICOS SANTA BARBAR;66426316;CE;CAUCAIA
43569880000124;ALINE CORREIA CARVALHO 07439036506;185262330;BA;VALENCA
